TestID#,KitID,InputGp,Input[C],OutputRt,Exp. Result,ChRt-1,VolDiff-1,StepWidth-1,AvgRate-1,Threshold-1,ChRt-2,VolDiff-2,StepWidth-2,AvgRate-2,Threshold-2,ChRt-3,VolDiff-3,StepWidth-3,AvgRate-3,Threshold-3,ChRt-4,VolDiff-4,StepWidth-4,AvgRate-4,Threshold-4,ChRt-5,VolDiff-5,StepWidth-5,AvgRate-5,Threshold-5
2021-12-01_NABITA003.38_1,INSC20102,Positive,1.49,Negative,No,True,106.4,102.0,1.0,40,False,12.1,0.0,0.0,40,False,12.3,0.0,0.0,40,False,18.1,0.0,0.0,60,False,16.2,0.0,0.0,60
2021-12-01_NABITA003.38_2,INSC20105,Positive,2.99,Positive,Yes,True,118.5,103.0,1.2,40,False,18.2,0.0,0.0,40,False,12.3,0.0,0.0,40,False,35.6,40.0,0.9,60,True,242.4,117.0,2.1,60
2021-12-01_NABITA003.38_3,INSC20109,Positive,5.98,Negative,No,True,113.5,102.0,1.1,40,False,15.6,0.0,0.0,40,False,12.6,0.0,0.0,40,False,14.5,0.0,0.0,60,False,20.3,0.0,0.0,60
2021-12-01_NABITA003.38_4,INSC20112,Positive,11.95,Negative,No,True,61.2,64.0,1.0,40,False,7.1,0.0,0.0,40,False,18.5,0.0,0.0,40,False,21.0,0.0,0.0,60,False,24.4,0.0,0.0,60
2021-12-01_NABITA003.38_5,INSC20115,Positive,23.9,Positive,Yes,True,92.1,67.0,1.4,40,False,16.4,0.0,0.0,40,True,82.9,58.0,1.4,40,False,31.6,0.0,0.0,60,False,25.9,0.0,0.0,60
2021-12-01_NABITA003.38_6,INSC20118,Positive,47.8,Positive,Yes,True,75.2,83.0,0.9,40,True,71.2,58.0,1.2,40,True,112.0,67.0,1.7,40,False,36.2,0.0,0.0,60,True,272.2,118.0,2.3,60
2021-12-01_NABITA003.38_7,INSC20121,Positive,95.6,Positive,Yes,True,108.9,79.0,1.4,40,True,70.2,56.0,1.3,40,True,87.9,63.0,1.4,40,True,251.3,109.0,2.3,60,True,274.8,119.0,2.3,60
2021-12-01_NABITA003.38_8,INSC20125,Negative,0,Negative,Yes,True,124.6,98.0,1.3,40,False,8.9,0.0,0.0,40,False,18.8,0.0,0.0,40,False,23.2,0.0,0.0,60,False,21.8,0.0,0.0,60
2021-12-01_NABITA004.23_1,INSC20103,Positive,1.49,Negative,No,True,100.0,105.0,1.0,40,False,16.6,0.0,0.0,40,False,11.5,0.0,0.0,40,False,18.2,0.0,0.0,60,False,15.1,0.0,0.0,60
2021-12-01_NABITA004.23_2,INSC20106,Positive,2.99,Negative,No,True,96.7,77.0,1.3,40,False,6.5,0.0,0.0,40,False,9.7,0.0,0.0,40,False,21.2,0.0,0.0,60,False,33.8,0.0,0.0,60
2021-12-01_NABITA004.23_3,INSC20110,Positive,5.98,Negative,No,True,144.3,87.0,1.7,40,False,10.2,0.0,0.0,40,False,18.6,0.0,0.0,40,False,24.3,0.0,0.0,60,False,22.7,0.0,0.0,60
2021-12-01_NABITA004.23_4,INSC20113,Positive,11.95,Negative,No,True,139.8,76.0,1.8,40,False,25.1,0.0,0.0,40,False,21.2,0.0,0.0,40,False,23.5,0.0,0.0,60,False,18.4,0.0,0.0,60
2021-12-01_NABITA004.23_5,INSC20116,Positive,23.9,Positive,Yes,True,101.5,106.0,1.0,40,True,96.1,96.0,1.0,40,True,139.8,94.0,1.5,40,False,15.3,0.0,0.0,60,False,24.1,0.0,0.0,60
2021-12-01_NABITA004.23_6,INSC20119,Positive,47.8,Positive,Yes,True,70.6,56.0,1.3,40,False,38.8,34.0,1.1,40,True,171.4,121.0,1.4,40,False,25.7,0.0,0.0,60,False,25.0,0.0,0.0,60
